backen;bäckt,backt;backte,buk;h. gebacken,hat gebacken;süt (tésztát),tésztát süt,süt
befehlen;befiehlt;befahl;h. befohlen,hat befohlen;parancsol
beginnen;beginnt;begann;h. begonnen,hat begonnen;kezd
beißen;beißt;biss;h. gebissen,hat gebissen;harap
bergen;birgt;barg;h. geborgen,hat geborgen;megment,ment,rejt,elrejt
betrügen;betrügt;betrog;h. betrogen,hat betrogen;becsap,megcsal
bewegen;bewegt;bewegte;h. bewegt,hat bewegt;mozdít
bewegen;bewegt;bewog;h. bewogen,hat bewogen;ösztönöz,rábír,rábír vmire,rábír valamire
biegen;biegt;bog;h. gebogen,hat gebogen;hajlít

